id,gender,articleType,season,usage
52003,Women,Tshirts,Summer,Casual
52007,Women,Dresses,Summer,Casual
52017,Women,Tshirts,Summer,Casual
52021,Women,Bra,Summer,Casual
52023,Men,Tshirts,Summer,Casual
52026,Men,Backpacks,Fall,Casual
52027,Men,Shirts,Summer,Casual
52028,Men,Rucksacks,Summer,Casual
52029,Men,Sweatshirts,Summer,Casual
52030,Men,Sweatshirts,Summer,Casual
52031,Men,Jackets,Summer,Casual
52032,Men,Sweatshirts,Summer,Casual
52034,Men,Jackets,Summer,Casual
52042,Men,Jackets,Summer,Casual
52043,Men,Jackets,Summer,Casual
52044,Men,Shirts,Summer,Casual
52045,Men,Shirts,Summer,Casual
52049,Men,Tshirts,Summer,Casual
52050,Men,Tshirts,Summer,Casual
52051,Women,Tshirts,Summer,Casual
52052,Men,Tshirts,Summer,Casual
52053,Men,Tshirts,Summer,Casual
52054,Men,Tshirts,Summer,Casual
52055,Men,Tshirts,Summer,Casual
52056,Men,Tshirts,Summer,Casual
52057,Men,Tshirts,Summer,Casual
52058,Men,Tshirts,Summer,Casual
52059,Men,Tshirts,Summer,Casual
52060,Men,Tshirts,Summer,Casual
52061,Men,Tshirts,Summer,Casual
52062,Men,Tshirts,Summer,Casual
52063,Men,Tshirts,Summer,Casual
52064,Men,Tshirts,Summer,Casual
52065,Men,Tshirts,Summer,Casual
52066,Men,Tshirts,Summer,Casual
52067,Men,Tshirts,Summer,Casual
52068,Men,Tshirts,Summer,Casual
52069,Men,Tshirts,Summer,Casual
52070,Men,Tshirts,Summer,Casual
52071,Men,Tshirts,Summer,Casual
52072,Men,Tshirts,Summer,Casual
52073,Men,Tshirts,Summer,Casual
52074,Men,Tshirts,Summer,Casual
52075,Men,Tshirts,Summer,Casual
52076,Men,Tshirts,Summer,Casual
52077,Men,Tshirts,Summer,Casual
52078,Men,Tshirts,Summer,Casual
52079,Men,Tshirts,Summer,Casual
52080,Men,Tshirts,Summer,Casual
52081,Men,Tshirts,Fall,Casual
52082,Men,Tshirts,Summer,Casual
52083,Women,Tshirts,Summer,Casual
52084,Women,Tops,Summer,Ethnic
52085,Women,Tops,Summer,Casual
52086,Women,Tshirts,Summer,Casual
52087,Women,Tops,Summer,Casual
52088,Women,Tops,Summer,Ethnic
52089,Women,Tshirts,Summer,Casual
52090,Women,Tshirts,Summer,Casual
52091,Women,Tops,Summer,Casual
52092,Women,Tshirts,Summer,Casual
52093,Women,Tops,Summer,Casual
52094,Women,Tops,Summer,Casual
52095,Women,Tops,Summer,Casual
52096,Women,Tops,Summer,Casual
52097,Women,Tops,Summer,Casual
52098,Women,Tops,Summer,Casual
52099,Women,Shirts,Summer,Casual
52100,Women,Kurtas,Summer,Ethnic
52101,Women,Kurtas,Summer,Casual
52102,Women,Kurtas,Summer,Casual
52103,Women,Tops,Summer,Casual
52104,Women,Kurtas,Summer,Ethnic
52105,Women,Kurtas,Summer,Casual
52106,Women,Dresses,Summer,Ethnic
52107,Women,Kurtas,Summer,Ethnic
52108,Women,Kurtas,Summer,Ethnic
52109,Women,Kurtas,Summer,Ethnic
52110,Women,Kurtas,Fall,Casual
52111,Women,Dresses,Summer,Ethnic
52112,Women,Dresses,Summer,Casual
52113,Women,Kurtas,Summer,Ethnic
52114,Women,Dresses,Summer,Casual
52115,Women,Tshirts,Summer,Casual
52116,Women,Dresses,Summer,Casual
52117,Women,Dresses,Summer,Casual
52118,Women,Dresses,Summer,Casual
52119,Women,Dresses,Summer,Casual
52120,Boys,Tshirts,Summer,Casual
52121,Boys,Tshirts,Summer,Casual
52122,Men,Tshirts,Summer,Casual
52123,Women,Tshirts,Summer,Casual
52124,Women,Tshirts,Summer,Casual
52125,Women,Dresses,Summer,Casual
52126,Girls,Tshirts,Summer,Casual
52127,Boys,Tshirts,Summer,Casual
52128,Men,Nail Polish,Summer,Casual
52129,Girls,Tops,Summer,Casual
52130,Women,Backpacks,Summer,Casual
52131,Women,Backpacks,Summer,Casual
52132,Women,Tshirts,Summer,Casual
52133,Women,Jeans,Summer,Casual
52134,Women,Stockings,Summer,Casual
52135,Women,Tops,Summer,Casual
52136,Women,Tshirts,Summer,Casual
52137,Women,Tshirts,Summer,Casual
52138,Men,Tshirts,Summer,Casual
52139,Women,Tshirts,Summer,Casual
52140,Women,Tshirts,Summer,Casual
52141,Women,Tshirts,Summer,Casual
52142,Women,Tshirts,Summer,Casual
52143,Women,Tshirts,Summer,Casual
52144,Women,Tshirts,Summer,Casual
52145,Women,Tshirts,Summer,Casual
52146,Women,Tshirts,Summer,Casual
52147,Men,Tshirts,Summer,Casual
52148,Men,Tshirts,Summer,Casual
52149,Women,Tshirts,Summer,Casual
52150,Men,Tshirts,Summer,Casual
52151,Men,Tshirts,Summer,Casual
52153,Men,Shirts,Summer,Casual
52154,Women,Tops,Summer,Casual
52155,Women,Tshirts,Summer,Casual
52156,Women,Dresses,Summer,Casual
52157,Women,Dresses,Summer,Casual
52158,Women,Shirts,Summer,Casual
52159,Women,Tops,Summer,Casual
52160,Women,Dresses,Summer,Casual
52161,Women,Tops,Summer,Ethnic
52162,Women,Tshirts,Summer,Casual
52163,Women,Tshirts,Summer,Casual
52164,Women,Innerwear Vests,Summer,Casual
52165,Women,Shirts,Summer,Casual
52166,Women,Sports Shoes,Summer,Casual
52168,Men,Perfume and Body Mist,Summer,Casual
52169,Women,Necklace and Chains,Summer,Casual
52172,Men,Sports Shoes,Summer,Casual
52173,Women,Sports Shoes,Summer,Casual
52176,Men,Necklace and Chains,Summer,Casual
52177,Women,Sports Shoes,Winter,Casual
52178,Women,Casual Shoes,Summer,Casual
52179,Women,Necklace and Chains,Summer,Casual
52180,Women,Ring,Summer,Casual
52181,Women,Earrings,Summer,Casual
52182,Women,Necklace and Chains,Summer,Casual
52183,Women,Earrings,Summer,Casual
52185,Women,Necklace and Chains,Summer,Sports
52186,Women,Necklace and Chains,Summer,Casual
52187,Women,Perfume and Body Mist,Summer,Casual
52190,Women,Sports Shoes,Summer,Casual
52191,Men,Sports Shoes,Summer,Casual
52193,Women,Shirts,Summer,Casual
52195,Women,Handbags,Summer,Casual
52198,Women,Ring,Winter,Casual
52200,Women,Shirts,Summer,Casual
52202,Women,Necklace and Chains,Summer,Casual
52204,Women,Necklace and Chains,Summer,Casual
52205,Women,Shirts,Summer,Casual
52209,Women,Necklace and Chains,Summer,Casual
52210,Women,Necklace and Chains,Fall,Casual
52211,Women,Necklace and Chains,Summer,Casual
52214,Women,Necklace and Chains,Summer,Casual
52220,Women,Necklace and Chains,Fall,Casual
52221,Women,Shirts,Summer,Casual
52222,Men,Gloves,Summer,Casual
52223,Women,Watches,Winter,Casual
52224,Men,Shirts,Summer,Casual
52225,Men,Watches,Winter,Casual
52228,Men,Sports Shoes,Summer,Casual
52230,Men,Watches,Fall,Casual
52235,Women,Lounge Pants,Summer,Casual
52254,Men,Briefs,Summer,Casual
52255,Men,Briefs,Summer,Casual
52256,Men,Boxers,Summer,Casual
52257,Men,Briefs,Summer,Casual
52299,Men,Shorts,Summer,Casual
52303,Women,Pendant,Summer,Casual
52304,Women,Bra,Summer,Casual
52305,Women,Necklace and Chains,Summer,Casual
52306,Women,Necklace and Chains,Summer,Casual
52307,Women,Kajal and Eyeliner,Summer,Casual
52308,Women,Necklace and Chains,Summer,Casual
52309,Women,Necklace and Chains,Summer,Casual
52310,Women,Kajal and Eyeliner,Summer,Casual
52311,Women,Necklace and Chains,Summer,Casual
52312,Women,Necklace and Chains,Winter,Casual
52313,Men,Belts,Winter,Casual
52314,Women,Flip Flops,Summer,Casual
52315,Men,Belts,Summer,Casual
52316,Men,Basketballs,Summer,Casual
52317,Men,Wallets,Summer,Casual
52318,Men,Belts,Winter,Casual
52320,Men,Belts,Summer,Casual
52322,Women,Belts,Winter,Casual
52323,Women,Wallets,Summer,Casual
52324,Men,Accessory Gift Set,Summer,Casual
52325,Women,Wallets,Summer,Casual
52326,Women,Wallets,Summer,Casual
52327,Men,Wallets,Summer,Casual
52328,Men,Flip Flops,Summer,Casual
52329,Women,Tshirts,Summer,Casual
52330,Women,Wallets,Summer,Casual
52331,Women,Wallets,Summer,Casual
52332,Women,Wallets,Summer,Casual
52333,Women,Clutches,Summer,Casual
52334,Women,Shoe Accessories,Winter,Casual
52335,Women,Wallets,Summer,Casual
52336,Women,Clutches,Summer,Casual
52337,Women,Clutches,Summer,Casual
52338,Women,Clutches,Winter,Casual
52339,Women,Wallets,Summer,Casual
52340,Women,Tshirts,Fall,Casual
52341,Women,Dresses,Summer,Ethnic
52342,Women,Dresses,Summer,Ethnic
52343,Women,Dresses,Summer,Ethnic
52344,Women,Tops,Summer,Casual
52345,Women,Dresses,Summer,Casual
52346,Women,Tops,Summer,Ethnic
52347,Women,Tops,Summer,Casual
52348,Women,Tops,Summer,Casual
52349,Women,Dresses,Summer,Casual
52350,Women,Dresses,Summer,Casual
52351,Women,Tops,Summer,Casual
52352,Women,Dresses,Summer,Casual
52353,Women,Dresses,Summer,Casual
52354,Women,Kurta Sets,Summer,Ethnic
52355,Women,Dresses,Summer,Casual
52356,Women,Dresses,Summer,Casual
52357,Women,Tshirts,Summer,Ethnic
52358,Women,Dresses,Summer,Casual
52359,Women,Tshirts,Summer,Casual
52360,Women,Dresses,Summer,Casual
52361,Women,Dresses,Summer,Ethnic
52362,Women,Dresses,Summer,Casual
52363,Women,Tops,Summer,Casual
52364,Women,Kurtas,Summer,Casual
52366,Women,Dresses,Summer,Casual
52367,Women,Dresses,Summer,Ethnic
52368,Women,Dresses,Summer,Ethnic
52369,Women,Dresses,Summer,Casual
52370,Women,Tops,Summer,Casual
52371,Women,Dresses,Summer,Casual
52372,Women,Tops,Summer,Ethnic
52373,Women,Dresses,Summer,Ethnic
52374,Women,Tops,Summer,Ethnic
52375,Women,Tops,Summer,Casual
52376,Women,Tops,Summer,Casual
52377,Women,Dresses,Summer,Casual
52378,Women,Dresses,Summer,Casual
52379,Women,Dresses,Summer,Casual
52380,Women,Dresses,Summer,Casual
52381,Women,Kurta Sets,Summer,Casual
52382,Women,Kurta Sets,Summer,Ethnic
