target,model,macro_f1,balanced_acc,accuracy,notes
articleType,majority_baseline,0.0028021978021978,0.0092592592592592,0.1782985886313608,Always predicts: Tshirts
articleType,cnn_custom,0.3998686180375765,0.4333160570141815,0.7131943545254434,Custom CNN trained 
articleType,cnn_weighted,0.0553150903414669,0.0878674944170428,0.1354395960119124,
articleType,cnn_oversampled,0.0914351964072224,0.1247112541022332,0.3348439725495274,
subCategory,cnn_merged,0.1799381562303245,0.1774861620944184,0.6845785316586819,
articleType,majority_baseline,0.0028021978021978,0.0092592592592592,0.1782985886313608,Always predicts: Tshirts
articleType,cnn_custom,0.4094785757123159,0.4432388921427834,0.7218697397384436,Custom CNN trained 
articleType,cnn_lr_0_001,0.1347762488386355,0.1521796571217744,0.4991583581509776,"lr=0.001, dropout=0.4"
articleType,cnn_lr_0_0005,0.0694375246085051,0.1006428211736271,0.2361776511718244,"lr=0.0005, dropout=0.4"
articleType,cnn_lr_0_0001,0.1369129467439552,0.1831513706235789,0.4837498381457982,"lr=0.0001, dropout=0.4"
articleType,cnn_dropout_0_3,0.1473150459305474,0.1611838078681292,0.4744270361258578,"lr=0.001, dropout=0.3"
articleType,cnn_dropout_0_4,0.0624986682691208,0.0801869962283583,0.2453709698303768,"lr=0.001, dropout=0.4"
articleType,cnn_dropout_0_5,0.1940627477351082,0.2427524145046339,0.5077042600025896,"lr=0.001, dropout=0.5"
articleType,majority_baseline,0.0028021978021978,0.0092592592592592,0.1782985886313608,Always predicts: Tshirts
articleType,cnn_custom,0.4193821976933986,0.4635734282702857,0.7179852388968018,Custom CNN trained 
